pt,yield,stat_err,sys_err
0.5,3.610082433123037,0.07220164866246073,0.18050412165615184
0.8979591836734694,0.7678236095186628,0.015356472190373257,0.038391180475933144
1.2959183673469388,0.24756814739548128,0.004951362947909626,0.012378407369774065
1.693877551020408,0.08039819467981209,0.0016079638935962417,0.004019909733990605
2.0918367346938775,0.03079962650495526,0.0006159925300991052,0.0015399813252477631
2.489795918367347,0.011653955712293947,0.00023307911424587895,0.0005826977856146974
2.887755102040816,0.004891714219443632,9.783428438887264e-05,0.0002445857109721816
3.2857142857142856,0.0022794274815430295,4.558854963086059e-05,0.00011397137407715148
3.683673469387755,0.0011468587893691687,2.2937175787383375e-05,5.734293946845844e-05
4.081632653061225,0.0005925039678213903,1.1850079356427806e-05,2.9625198391069515e-05
4.479591836734694,0.0003312210571288954,6.624421142577908e-06,1.656105285644477e-05
4.877551020408164,0.00020697666430370343,4.1395332860740686e-06,1.0348833215185171e-05
5.275510204081632,0.00011514287715210074,2.302857543042015e-06,5.757143857605037e-06
5.673469387755102,7.38655789760699e-05,1.477311579521398e-06,3.693278948803495e-06
6.071428571428571,4.2096443524992034e-05,8.419288704998407e-07,2.1048221762496017e-06
6.469387755102041,2.809203817691762e-05,5.618407635383524e-07,1.404601908845881e-06
6.86734693877551,1.904889950851067e-05,3.809779901702134e-07,9.524449754255335e-07
7.26530612244898,1.4208796333867136e-05,2.8417592667734275e-07,7.104398166933568e-07
7.663265306122449,8.868115448873255e-06,1.7736230897746512e-07,4.4340577244366277e-07
8.061224489795919,6.537491909410182e-06,1.3074983818820365e-07,3.2687459547050913e-07
8.459183673469388,4.250604291135099e-06,8.501208582270199e-08,2.1253021455675496e-07
8.857142857142858,3.4724468858393564e-06,6.944893771678712e-08,1.7362234429196783e-07
9.255102040816327,2.304948461903678e-06,4.609896923807356e-08,1.152474230951839e-07
9.653061224489797,1.7336706553582612e-06,3.4673413107165224e-08,8.668353276791306e-08
10.051020408163264,1.3010039502624428e-06,2.6020079005248857e-08,6.505019751312215e-08
10.448979591836734,9.455650902022075e-07,1.8911301804044152e-08,4.7278254510110375e-08
10.846938775510203,6.47869514812133e-07,1.295739029624266e-08,3.239347574060665e-08
11.244897959183673,5.156618996372598e-07,1.0313237992745197e-08,2.578309498186299e-08
11.642857142857142,4.543514013906859e-07,9.087028027813718e-09,2.2717570069534295e-08
12.040816326530612,3.4304273552073066e-07,6.8608547104146136e-09,1.7152136776036532e-08
12.438775510204081,2.7087437131562784e-07,5.417487426312557e-09,1.3543718565781393e-08
12.83673469387755,1.9367348648651273e-07,3.8734697297302544e-09,9.683674324325638e-09
13.23469387755102,1.622203223113911e-07,3.244406446227822e-09,8.111016115569555e-09
13.63265306122449,1.3488368324266757e-07,2.6976736648533516e-09,6.744184162133379e-09
14.03061224489796,1.1191943108676971e-07,2.238388621735394e-09,5.5959715543384855e-09
14.428571428571429,9.015960249622895e-08,1.803192049924579e-09,4.507980124811448e-09
14.826530612244898,7.171770975406567e-08,1.4343541950813134e-09,3.5858854877032833e-09
15.224489795918368,5.669067258692374e-08,1.1338134517384748e-09,2.8345336293461873e-09
15.622448979591837,5.010505873700621e-08,1.0021011747401243e-09,2.5052529368503105e-09
16.02040816326531,3.8698032600810505e-08,7.739606520162101e-10,1.9349016300405253e-09
16.418367346938776,3.208973823404342e-08,6.417947646808685e-10,1.6044869117021712e-09
16.816326530612244,2.812874350780903e-08,5.625748701561806e-10,1.4064371753904517e-09
17.214285714285715,2.26835004514108e-08,4.53670009028216e-10,1.1341750225705401e-09
17.612244897959183,1.923417794007017e-08,3.8468355880140345e-10,9.617088970035087e-10
18.010204081632654,1.6282373627314797e-08,3.2564747254629597e-10,8.141186813657399e-10
18.408163265306122,1.4638583899848513e-08,2.9277167799697026e-10,7.319291949924257e-10
18.806122448979593,1.234408677820983e-08,2.468817355641966e-10,6.172043389104916e-10
19.20408163265306,8.978880778008962e-09,1.7957761556017926e-10,4.4894403890044816e-10
19.60204081632653,8.596690919916947e-09,1.7193381839833895e-10,4.298345459958474e-10
20.0,7.232953855345689e-09,1.446590771069138e-10,3.616476927672845e-10
